objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc12,name,hutype,humod,tohuc,noncontrib,noncontr_1,globalid,shape_Leng,shape_Area,_count,_mean,_median,_min,_max
78538,{D7CBA674-FD4F-487D-85E1-31C56E9D2BB9},,,,,2013/01/18 07:09:17.000,,23973.229999999999563,97.019999999999996,ID,"170602010106",Lower Valley Creek,S,NM,"170602010601",0.000000000000000,0.000000000000000,{A9D1AD3B-E29C-11E2-8094-0021280458E6},0.519375390690696,0.010922299878727,77853.000000000000000,2337.781074589290711,2241.000000000000000,1925.000000000000000,3261.000000000000000
78601,{D99D880B-3204-47C6-960A-4481144D45A6},,,,,2013/01/18 07:09:17.000,,11456.000000000000000,46.359999999999999,ID,"170602010105",Stanley Lake Creek,S,NM,"170602010106",0.000000000000000,0.000000000000000,{A9D18F2D-E29C-11E2-8094-0021280458E6},0.432200605618109,0.005221297041785,67654.000000000000000,2303.505986342271171,2282.000000000000000,1942.000000000000000,2996.000000000000000
78597,{D7B12C03-11C9-45A1-BCE1-E25693A5DFF1},,,,,2013/01/18 07:09:17.000,,12914.590000000000146,52.259999999999998,ID,"170602010101",Elk Creek,S,NM,"170602010103",0.000000000000000,0.000000000000000,{A9D11EE5-E29C-11E2-8094-0021280458E6},0.474389919501230,0.005888971265830,76334.000000000000000,2288.937511462781913,2240.000000000000000,1977.000000000000000,2826.000000000000000
78600,{E7024A5F-55C9-461A-BD07-72CA804441CB},,,,,2013/01/18 07:09:17.000,,9888.139999999999418,40.020000000000003,ID,"170602010104",Stanley Creek,S,NM,"170602010106",0.000000000000000,0.000000000000000,{A9D171F2-E29C-11E2-8094-0021280458E6},0.348463855579941,0.004510963822185,2792.000000000000000,1991.707378223495652,1968.000000000000000,1939.000000000000000,2254.000000000000000
78599,{5D647611-E5EE-4E43-98E3-DA5F7553DAD3},,,,,2013/01/18 07:09:17.000,,17580.900000000001455,71.150000000000006,ID,"170602010103",Middle Valley Creek,S,NM,"170602010106",0.000000000000000,0.000000000000000,{A9D153D8-E29C-11E2-8094-0021280458E6},0.700320836167018,0.008023284758333,102012.000000000000000,2140.331725679332067,2088.000000000000000,1939.000000000000000,2819.000000000000000
78465,{AF5B6849-C277-4EEC-9478-B1B9E377017B},,,,,2013/01/18 07:09:18.000,,17144.790000000000873,69.379999999999995,ID,"170602050201",Headwaters Bear Valley Creek,S,NM,"170602050202",0.000000000000000,0.000000000000000,{AAA1F56A-E29C-11E2-8094-0021280458E6},0.405829748181915,0.007823084967246,101376.000000000000000,2167.211805555555657,2143.000000000000000,2001.000000000000000,2568.000000000000000
10009,{5A8EC9D6-CA0C-4353-9531-3E33940628A9},{A696784E-F207-4A04-827B-F7F1AE5DC54F},,,,2016/11/29 21:28:20.000,,22450.060000000001310,90.849999999999994,ID,"170501200203",Upper Warm Spring Creek,S,NM,"170501200204",0.000000000000000,0.000000000000000,{A8A35F8C-E29C-11E2-8094-0021280458E6},0.571436861672348,0.010244142860282,132793.000000000000000,2270.835345236571357,2286.000000000000000,1725.000000000000000,2686.000000000000000
78466,{E66CD8D4-C9E7-4932-B183-5F2F2F6DD875},,,,,2013/01/18 07:09:18.000,,25399.279999999998836,102.790000000000006,ID,"170602050202",Cache Creek-Bear Valley Creek,S,NM,"170602050203",0.000000000000000,0.000000000000000,{AAA2137A-E29C-11E2-8094-0021280458E6},0.673571860301353,0.011598890790556,150328.000000000000000,2181.371926720238207,2147.000000000000000,1943.000000000000000,2652.000000000000000
78487,{155BAB0F-FDE4-46E3-A229-1EDC2B69222D},,,,,2013/01/18 07:09:18.000,,11341.809999999999491,45.899999999999999,ID,"170602050102",Bearskin Creek,S,NM,"170602050103",0.000000000000000,0.000000000000000,{AAA1C09B-E29C-11E2-8094-0021280458E6},0.408269113635086,0.005183902967325,67184.000000000000000,2118.269260538223534,2099.000000000000000,1960.000000000000000,2490.000000000000000
78464,{76DD169D-3C7F-4FB9-9981-E913BACE9A4A},,,,,2013/01/18 07:09:18.000,,13308.819999999999709,53.859999999999999,ID,"170602050103",Lower Elk Creek,S,NM,"170602050203",0.000000000000000,0.000000000000000,{AAA1DE87-E29C-11E2-8094-0021280458E6},0.383250450670596,0.006085473150845,78851.000000000000000,2098.173111311207322,2098.000000000000000,1942.000000000000000,2527.000000000000000
78468,{3EA88F38-398C-461F-A4E3-6199D5DEA2B4},,,,,2013/01/18 07:09:18.000,,12937.809999999999491,52.359999999999999,ID,"170602050204",Fir Creek-Bear Valley Creek,S,NM,"170602050401",0.000000000000000,0.000000000000000,{AAA24858-E29C-11E2-8094-0021280458E6},0.388202071893431,0.005914812752447,76668.000000000000000,2280.901732143788649,2274.000000000000000,1882.000000000000000,2894.000000000000000
78467,{3F34290E-3EC3-44D7-9018-0AE7A1FEFA18},,,,,2013/01/18 07:09:18.000,,16508.840000000000146,66.810000000000002,ID,"170602050203",Wyoming Creek-Bear Valley Creek,S,NM,"170602050204",0.000000000000000,0.000000000000000,{AAA22A46-E29C-11E2-8094-0021280458E6},0.452609170252362,0.007548767954622,97832.000000000000000,2099.604117262245381,2025.000000000000000,1931.000000000000000,2660.000000000000000
78598,{B64E588A-9961-4B81-9346-556B9A276C22},,,,,2013/01/18 07:09:17.000,,17354.020000000000437,70.230000000000004,ID,"170602010102",Upper Valley Creek,S,NM,"170602010103",0.000000000000000,0.000000000000000,{A9D13CFA-E29C-11E2-8094-0021280458E6},0.481557604194899,0.007928798520833,59312.000000000000000,2252.173624224440118,2239.000000000000000,1999.000000000000000,2572.000000000000000
78469,{DDAB642A-3DB8-4EB6-BA47-F10FA6667A6C},,,,,2013/01/18 07:09:18.000,,12897.540000000000873,52.189999999999998,ID,"170602050301",Knapp Creek,S,NM,"170602050305",0.000000000000000,0.000000000000000,{AAA25F2E-E29C-11E2-8094-0021280458E6},0.581433430853987,0.005897324491523,41270.000000000000000,2209.432541797916201,2199.000000000000000,2011.000000000000000,2601.000000000000000
78471,{B362D648-6E73-451F-8841-454B03456514},,,,,2013/01/18 07:09:18.000,,16258.649999999999636,65.799999999999997,ID,"170602050303",Upper Beaver Creek,S,NM,"170602050304",0.000000000000000,0.000000000000000,{AAA29428-E29C-11E2-8094-0021280458E6},0.432210240306068,0.007440832453178,50029.000000000000000,2339.841012212916667,2327.000000000000000,2074.000000000000000,2764.000000000000000
78623,{45C95109-E52F-47CA-B6B3-BBCB7CCEA885},,,,,2013/01/18 07:09:18.000,,21635.209999999999127,87.549999999999997,ID,"170602050603",Upper Pistol Creek,S,NM,"170602050604",0.000000000000000,0.000000000000000,{AAA45CB3-E29C-11E2-8094-0021280458E6},0.538318433714329,0.009936962371137,128762.000000000000000,2326.712492816203394,2363.000000000000000,1772.000000000000000,2806.000000000000000
78624,{E2B35B30-75EB-42A0-942B-E0DB48E969D6},,,,,2013/01/18 07:09:18.000,,18317.930000000000291,74.129999999999995,ID,"170602050604",Lower Pistol Creek,S,NM,"170602050901",0.000000000000000,0.000000000000000,{AAA473BF-E29C-11E2-8094-0021280458E6},0.501788945318308,0.008416555485246,109084.000000000000000,2120.724982582230041,2130.000000000000000,1456.000000000000000,2831.000000000000000
79238,{1775A54D-C3A9-4BAF-9EC0-74C704307BA8},,,,,2013/01/18 07:09:18.000,,10408.190000000000509,42.119999999999997,ID,"170602080103",Sheep Creek-Johnson Creek,S,NM,"170602080104",0.000000000000000,0.000000000000000,{AA6A4E2F-E29C-11E2-8094-0021280458E6},0.353886789321519,0.004783250494548,62005.000000000000000,2139.418546891379719,2134.000000000000000,1844.000000000000000,2502.000000000000000
78622,{31AF74A1-8462-4A68-9CF8-91D528DBA365},,,,,2013/01/18 07:09:18.000,,15495.940000000000509,62.710000000000001,ID,"170602050602",Lower Little Pistol Creek,S,NM,"170602050604",0.000000000000000,0.000000000000000,{AAA43CF5-E29C-11E2-8094-0021280458E6},0.393434333188882,0.007126853482222,92368.000000000000000,2191.224330937121067,2199.000000000000000,1546.000000000000000,2948.000000000000000
